graph,score,presence,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B2_feature,relevance_x_stability,positive,micro,high_score_fraction,0.003705234304724299,0.0033796033506433122,0.004038640426779357,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,macro_class,mean_score,0.15993326664795057,0.15551294954481967,0.16438207425830426,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,macro_class,top10_mean_score,0.4319170595313938,0.4232842598781351,0.44070212415934606,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,macro_class,max_score,0.6847941989216095,0.6748624879108817,0.6948408514757891,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,macro_class,spatial_entropy,0.7617234270182323,0.7516428541913436,0.7717635780713585,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,relevance_x_stability,positive,macro_class,high_score_fraction,0.003660395954902307,0.0033552385079411396,0.003961196367029317,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,micro,mean_score,0.5278784976823169,0.5275422984496652,0.5282239038687482,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,micro,top10_mean_score,0.9189081758410999,0.9187120889205392,0.9191019485614872,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,micro,max_score,0.9976425668762599,0.9976108790283645,0.9976735088600807,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,micro,spatial_entropy,0.9262248825568239,0.9260802814189747,0.9263722415919272,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,micro,high_score_fraction,0.13942009581378467,0.13906097912579526,0.1397854664218392,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,macro_class,mean_score,0.5278932780357973,0.5275562890968195,0.5282393230543644,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,macro_class,top10_mean_score,0.9188947427902707,0.9187008244626699,0.9190890271157132,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,macro_class,max_score,0.9976425130617598,0.9976109931610687,0.9976735895336478,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,macro_class,spatial_entropy,0.926215150267238,0.9260718759437946,0.9263615712464132,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,absent,macro_class,high_score_fraction,0.13938882032781708,0.13902789119015607,0.13975299731462873,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,micro,mean_score,0.5293285969224191,0.5290044165015579,0.5296447863227621,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,micro,top10_mean_score,0.9175309964287375,0.9171100226367025,0.9179467817908449,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,micro,max_score,0.9976518986166273,0.9975505930949612,0.9977490312962098,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,micro,spatial_entropy,0.9253514952483837,0.9251944851339244,0.9255017173390936,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,micro,high_score_fraction,0.13699857683511063,0.13644332689860297,0.13755861281888118,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,macro_class,mean_score,0.5298057923970486,0.5294917322873609,0.5301218638166191,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,macro_class,top10_mean_score,0.9174367839408972,0.917006952361558,0.9178773273556905,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,macro_class,max_score,0.9976321723929533,0.997515167385289,0.997739296592005,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,macro_class,spatial_entropy,0.9252250593395768,0.9250820077027323,0.9253598019798616,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B2_feature,stability,positive,macro_class,high_score_fraction,0.13680567039585967,0.13622749843456075,0.13738897348212029,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,micro,mean_score,0.0014166037345437526,0.001262993251922142,0.0015741526812917005,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,micro,top10_mean_score,0.009630308232346597,0.00884729426648114,0.010458375798797477,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,micro,max_score,0.05432472117108087,0.05101897673515307,0.05776698055727949,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,micro,spatial_entropy,0.9567586776927934,0.9539826932280362,0.959441288158109,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,micro,high_score_fraction,0.00026410062347728295,0.0002370131953332556,0.0002934976277750661,1449,1449,26833,26833,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,macro_class,mean_score,0.0014706790331685533,0.0013106519338851926,0.0016365800536154817,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,macro_class,top10_mean_score,0.009959667662635537,0.009143840919986695,0.010824549203690328,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,macro_class,max_score,0.05622324844129264,0.05270360973784516,0.05980403728111577,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,relevance,absent,macro_class,spatial_entropy,0.9552179738320936,0.95229898099275,0.9580016932379337,1449,1449,26833,26833,20,5000,5000,1.0,3021694564,20260901
