graph,row_type,region,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
B3_spatial_feature,suppression,target_boundary,macro_class,mean_relative_suppression,0.5521348390054659,0.5480992878357662,0.5561759342935294,1432,1449,2021,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,micro,mean_score_delta_rs_minus_r,-0.37055622757458,-0.3774174803650846,-0.3638681870983289,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,micro,mean_relative_suppression,0.5311908363329397,0.5264079682905917,0.5359862888960859,1399,1449,1850,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,macro_class,mean_score_delta_rs_minus_r,-0.3621331860018451,-0.36955981734005955,-0.3549561733010911,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,suppression,target_interior,macro_class,mean_relative_suppression,0.5275886777052539,0.5226118985216598,0.53268753846577,1399,1449,1850,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top05,micro,target_retained_fraction,0.24645628650263718,0.23480378203605343,0.2581174176259522,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top05,micro,background_removed_fraction,0.29901306500407254,0.28227480280750605,0.3162390916092016,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top05,macro_class,target_retained_fraction,0.24535765760600206,0.23260972914719555,0.2578502330928458,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top05,macro_class,background_removed_fraction,0.30443463664666204,0.28716120639345943,0.32187745683634245,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top10,micro,target_retained_fraction,0.4148208045661104,0.40188766850631846,0.4277217342553549,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top10,micro,background_removed_fraction,0.32705894393771134,0.3109662323799028,0.34318337098110746,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top10,macro_class,target_retained_fraction,0.4122698973084297,0.398489197465444,0.4258013870326564,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top10,macro_class,background_removed_fraction,0.33663597444355775,0.3195997109877698,0.3535021341014412,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top20,micro,target_retained_fraction,0.611398494705142,0.5978824747339571,0.6246531427180939,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top20,micro,background_removed_fraction,0.3104374628740624,0.29647124829856625,0.32427047238579887,1449,1449,2147,2147,,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top20,macro_class,target_retained_fraction,0.608995151999894,0.595348620877614,0.6225022393112098,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
B3_spatial_feature,top_tail_transition,top20,macro_class,background_removed_fraction,0.3223448337032552,0.30800623165764335,0.3367179717801191,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
