comparison,graph,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,auc_target_other,0.44587349906650015,0.41777445256583057,0.4731776651201095,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,ap_target_bg,0.33118207083475687,0.3211311283890955,0.3412192883031663,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,all,macro_class,ap_target_other,0.34612464678749655,0.3141906769404581,0.377806211513866,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,micro,target_hit,0.5393743257820928,0.505933117583603,0.5717637540453071,927,927,927,927,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,micro,target_tail_enrich_05,2.0670140369639274,1.9311035015180233,2.212606401189421,921,927,921,927,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,micro,target_tail_enrich_10,1.7074851782968465,1.6052732854286322,1.8172923983841185,921,927,921,927,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,micro,bg_tail_enrich_05,-0.7039970192349196,-0.730200595923897,-0.6775277432304425,918,927,918,927,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,micro,auc_target_bg,0.3812956201905579,0.3704616190957247,0.39240362708194154,912,927,912,927,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,micro,ap_target_bg,0.3044558804528751,0.2923662392825468,0.3165556479202005,912,927,912,927,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_stability,B1_spatial,single_label,macro_class,target_hit,0.532340809911042,0.4873567177370792,0.5761486134844608,927,927,927,927,20,5000,5000,1.0,3021694564,20260901
