graph,relevance_quintile,stability_quintile,region,metric,estimate,ci_low,ci_high,num_images,num_images_total,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_seed,bootstrap_unit
B2_feature,4,3,target,region_probability,0.5747448544865847,0.5559776162165133,0.5931833801803003,1449,1449,5000,5000,20260901,whole image
B2_feature,4,3,other_fg,region_probability,0.05303618427281162,0.04634149975961576,0.05988951398895088,1449,1449,5000,5000,20260901,whole image
B2_feature,4,3,background,region_probability,0.3716319845492587,0.3537033060606567,0.39076955647590533,1449,1449,5000,5000,20260901,whole image
B2_feature,4,4,target,region_probability,0.5724344058412902,0.5533338115046449,0.5912562559857606,1449,1449,5000,5000,20260901,whole image
B2_feature,4,4,other_fg,region_probability,0.05506298643986199,0.048228023697540146,0.06212061338810998,1449,1449,5000,5000,20260901,whole image
B2_feature,4,4,background,region_probability,0.3718205889432721,0.3530207210776545,0.3908054743995066,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,0,target,region_probability,0.08435600634896055,0.07551693467479241,0.09337265763120549,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,0,other_fg,region_probability,0.1696153200934278,0.1541624174869551,0.18474464869504661,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,0,background,region_probability,0.7456415418166802,0.7281293330248221,0.7631349808774699,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,1,target,region_probability,0.05511930849768688,0.04858405287581194,0.061931938635989774,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,1,other_fg,region_probability,0.19477416605794984,0.1776154809942854,0.21172915682039029,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,1,background,region_probability,0.7497412953494035,0.7312907119317573,0.767864963005978,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,2,target,region_probability,0.04617906765355149,0.04032210599507243,0.05246563790545338,1449,1449,5000,5000,20260901,whole image
B3_spatial_feature,0,2,other_fg,region_probability,0.21659524737047137,0.1978917128114449,0.23451678951201302,1449,1449,5000,5000,20260901,whole image
