relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,presence
s_last,per_class,all,micro,spatial_entropy,0.0003540112640051647,8.069440644841465e-05,0.0006948663413918808,1321,1321,1321,1321,,5000,5000,1.0,3021694564,20260901,11,dog,absent
s_last,per_class,all,micro,foreground_mass,0.3694170177338777,0.34367894008972144,0.39515513303786043,1321,1321,1321,1321,,5000,5000,1.0,3021694564,20260901,11,dog,absent
s_last,per_class,all,micro,background_mass,0.5889478564572606,0.5631907693253884,0.6154429745296112,1321,1321,1321,1321,,5000,5000,1.0,3021694564,20260901,11,dog,absent
s_last,per_class,all,micro,max_score,11043.788372529858,10812.023408431172,11272.67557297658,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,12,horse,absent
s_last,per_class,all,micro,top10_mean_score,4070.3550779846078,3937.3693049025637,4203.136735647204,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,12,horse,absent
s_last,per_class,all,micro,spatial_entropy,0.00013057278970227452,2.893590661590511e-05,0.00028135686853000553,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,12,horse,absent
s_last,per_class,all,micro,foreground_mass,0.3846713920071059,0.359123885615722,0.4102187406299986,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,12,horse,absent
s_last,per_class,all,micro,background_mass,0.5751826224424379,0.5489053910260099,0.6014600559116676,1370,1370,1370,1370,,5000,5000,1.0,3021694564,20260901,12,horse,absent
s_last,per_class,all,micro,max_score,11261.346231648111,11006.948938450323,11517.729016112864,1373,1373,1373,1373,,5000,5000,1.0,3021694564,20260901,13,motorbike,absent
s_last,per_class,all,micro,top10_mean_score,4247.277727920169,4099.473084743635,4392.251565895258,1373,1373,1373,1373,,5000,5000,1.0,3021694564,20260901,13,motorbike,absent
s_last,per_class,all,micro,spatial_entropy,0.00048635016040848194,0.00017773539238102773,0.0008858150877694013,1373,1373,1373,1373,,5000,5000,1.0,3021694564,20260901,13,motorbike,absent
s_last,per_class,all,micro,foreground_mass,0.3711176316667274,0.34561948759100736,0.39682872015270454,1373,1373,1373,1373,,5000,5000,1.0,3021694564,20260901,13,motorbike,absent
s_last,per_class,all,micro,background_mass,0.5888706147553299,0.5629252943540813,0.6147174525341481,1373,1373,1373,1373,,5000,5000,1.0,3021694564,20260901,13,motorbike,absent
s_last,per_class,all,micro,max_score,8181.604420513746,7848.453713041283,8496.248908487069,1004,1004,1004,1004,,5000,5000,1.0,3021694564,20260901,14,person,absent
s_last,per_class,all,micro,top10_mean_score,3383.3365517070242,3209.040801397778,3556.5387333228914,1004,1004,1004,1004,,5000,5000,1.0,3021694564,20260901,14,person,absent
s_last,per_class,all,micro,spatial_entropy,0.0029621673281496623,0.001955600228885929,0.004090106985812239,1004,1004,1004,1004,,5000,5000,1.0,3021694564,20260901,14,person,absent
s_last,per_class,all,micro,foreground_mass,0.37501108132271865,0.34563372696848566,0.40561070302306607,1004,1004,1004,1004,,5000,5000,1.0,3021694564,20260901,14,person,absent
s_last,per_class,all,micro,background_mass,0.5920607394148076,0.5614437406448753,0.6216376015823329,1004,1004,1004,1004,,5000,5000,1.0,3021694564,20260901,14,person,absent
s_last,per_class,all,micro,max_score,10541.653558574464,10266.708678538638,10822.450993854767,1364,1364,1364,1364,,5000,5000,1.0,3021694564,20260901,15,pottedplant,absent
s_last,per_class,all,micro,top10_mean_score,3959.3704808326847,3812.5481942069223,4110.660208875409,1364,1364,1364,1364,,5000,5000,1.0,3021694564,20260901,15,pottedplant,absent
s_last,per_class,all,micro,spatial_entropy,0.0006342496369913703,0.0002820107338132164,0.0010663538620821636,1364,1364,1364,1364,,5000,5000,1.0,3021694564,20260901,15,pottedplant,absent
s_last,per_class,all,micro,foreground_mass,0.3855644194701278,0.36057813811279865,0.411838124306258,1364,1364,1364,1364,,5000,5000,1.0,3021694564,20260901,15,pottedplant,absent
s_last,per_class,all,micro,background_mass,0.5743757767518104,0.5479163799711325,0.6012232186532961,1364,1364,1364,1364,,5000,5000,1.0,3021694564,20260901,15,pottedplant,absent
s_last,per_class,all,micro,max_score,10746.555877427945,10525.22073653909,10964.82033876852,1392,1392,1392,1392,,5000,5000,1.0,3021694564,20260901,16,sheep,absent
s_last,per_class,all,micro,top10_mean_score,3915.7737643370847,3787.5833728151433,4044.220096791048,1392,1392,1392,1392,,5000,5000,1.0,3021694564,20260901,16,sheep,absent
s_last,per_class,all,micro,spatial_entropy,0.00039609988243774914,0.00010770594515022585,0.0007589800993920093,1392,1392,1392,1392,,5000,5000,1.0,3021694564,20260901,16,sheep,absent
s_last,per_class,all,micro,foreground_mass,0.37922053635519876,0.3535564017429359,0.40497223363597395,1392,1392,1392,1392,,5000,5000,1.0,3021694564,20260901,16,sheep,absent
