relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name,term
,per_class,all,micro,target_mean,-9.648258435696652,-102.07599338768071,87.42514538674975,77,79,77,79,,5000,5000,1.0,3021694564,20260901,12,horse,s_last
,per_class,all,micro,other_fg_mean,-179.68162810277497,-310.2834212567824,-54.384114192432286,34,79,34,79,,5000,5000,1.0,3021694564,20260901,12,horse,s_last
,per_class,all,micro,bg_mean,-244.6866692071584,-351.5699796285964,-144.45599740387962,79,79,79,79,,5000,5000,1.0,3021694564,20260901,12,horse,s_last
,per_class,all,micro,auc_target_bg,0.5623641682291344,0.5225348971147684,0.601391736820404,77,79,77,79,,5000,5000,1.0,3021694564,20260901,12,horse,s_last
,per_class,all,micro,auc_target_other,0.5661892065798293,0.5108014125333799,0.6221183186821718,33,79,33,79,,5000,5000,1.0,3021694564,20260901,12,horse,s_last
,per_class,all,micro,target_mean,16.92514902599604,-91.90237447978294,126.1394481510929,75,76,75,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,s_last
,per_class,all,micro,other_fg_mean,139.25841137938215,-13.793565233047309,283.4409487427062,52,76,52,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,s_last
,per_class,all,micro,bg_mean,162.2734226528681,80.35701871362903,242.55206171806222,76,76,76,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,s_last
,per_class,all,micro,auc_target_bg,0.43358675417283754,0.3911633361138636,0.4747541835757658,75,76,75,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,s_last
,per_class,all,micro,auc_target_other,0.5193712340189278,0.4636423490785104,0.5731613510034247,51,76,51,76,,5000,5000,1.0,3021694564,20260901,13,motorbike,s_last
,per_class,all,micro,target_mean,393.15396055064264,345.3023437974549,441.1753315819004,413,445,413,445,,5000,5000,1.0,3021694564,20260901,14,person,s_last
,per_class,all,micro,other_fg_mean,154.1313723039335,89.04487681610446,216.3226473042821,373,445,373,445,,5000,5000,1.0,3021694564,20260901,14,person,s_last
,per_class,all,micro,bg_mean,23.391655716255453,-19.390083308705993,65.65919800575298,441,445,441,445,,5000,5000,1.0,3021694564,20260901,14,person,s_last
,per_class,all,micro,auc_target_bg,0.5840604279056673,0.563586274701858,0.6046282810956618,409,445,409,445,,5000,5000,1.0,3021694564,20260901,14,person,s_last
,per_class,all,micro,auc_target_other,0.5232369756430494,0.49628977058298607,0.5492646406520659,343,445,343,445,,5000,5000,1.0,3021694564,20260901,14,person,s_last
,per_class,all,micro,target_mean,576.9224385057759,433.2655619340032,736.762399888693,68,85,68,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,s_last
,per_class,all,micro,other_fg_mean,-17.902036392026538,-137.70349174774003,92.06173987495986,60,85,60,85,,5000,5000,1.0,3021694564,20260901,15,pottedplant,s_last
