relation,scope,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed,class_id,class_name
s_pos,all_rows,exactly_2_labels,macro_class,map_spearman,0.5631048425793236,0.4707875364936858,0.6552512957030792,375,375,375,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,top05_jaccard,0.6167779615810214,0.5637009563382763,0.6681867874022085,375,375,375,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,top10_jaccard,0.6367226753184723,0.5834150646596162,0.6880403871567158,375,375,375,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,top20_jaccard,0.6597051485122033,0.60753955897661,0.7110252408806793,375,375,375,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,shared_target_a_fraction,0.2559268099253086,0.21387828729163566,0.31037322458703837,319,375,319,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,shared_target_b_fraction,0.3137967358023285,0.24714335753260044,0.3471039005239611,319,375,319,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,shared_other_fg_fraction,0.0004262574595055413,0.0,0.001488095238095238,319,375,319,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,shared_background_fraction,0.42873951868446275,0.39172963129294824,0.48704473890499006,319,375,319,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,exactly_2_labels,macro_class,dominant_object_capture,0.5220692330366381,0.4615506973058623,0.5585001034547686,319,375,319,375,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,map_spearman,0.4215639544656564,0.33411573995358645,0.5081111202254286,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,top05_jaccard,0.539845236645456,0.4976816166048643,0.5816065064749182,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,top10_jaccard,0.5559372992760224,0.5134028907280529,0.5983490241627607,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,top20_jaccard,0.5724506784221366,0.5304589877855181,0.6147545909676301,147,147,531,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,shared_target_a_fraction,0.1437066882216752,0.11736583907638964,0.17175206066851256,147,147,380,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,shared_target_b_fraction,0.22914968200866428,0.19572318639518935,0.26570888836665457,147,147,380,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,shared_other_fg_fraction,0.17449304417082798,0.14984436465603826,0.19850127447749122,147,147,380,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,shared_background_fraction,0.4506311196633894,0.3931426545198138,0.5083420998967321,147,147,380,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,micro,dominant_object_capture,0.3396878146275457,0.30396983175348347,0.3757863779457213,147,147,380,531,,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,map_spearman,0.3663837480155535,0.24039613721509537,0.505094912106525,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,top05_jaccard,0.5158833665113673,0.4584886634462484,0.5816699832789525,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,top10_jaccard,0.5379571189596918,0.47924044118094394,0.6038162793892086,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,top20_jaccard,0.5534398806996811,0.4943748503926345,0.6184137106863248,147,147,531,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,shared_target_a_fraction,0.15131349130210772,0.11897844512942327,0.18529170629200356,147,147,380,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,shared_target_b_fraction,0.17449778233330854,0.14899735851220774,0.24142362464248862,147,147,380,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,shared_other_fg_fraction,0.12164399505202192,0.10141054486828427,0.15427754774998256,147,147,380,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,shared_background_fraction,0.5505375995360527,0.462111116561417,0.5934148315750808,147,147,380,531,17,5000,5000,1.0,3021694564,20260901,,
s_pos,all_rows,3plus_labels,macro_class,dominant_object_capture,0.29288399113863295,0.2598122077184679,0.3637668700877845,147,147,380,531,17,5000,5000,1.0,3021694564,20260901,,
